contract_id,effective_from,events_start_from,balance_key_symbol,holder_key_index,amount_value_type,token_symbol,token_name,decimals,reason,ticket
CBJEMENPPZRWAFEFKFO36NXFL3ZHKUA52NVPFRALBG3OAHAGV5DZGTGZ,2026-07-21,2026-08-31,,,,PC004,Private Credit Direct Deal0048343,7,Tradable private-credit deal token: emitted no SEP-41 events until the 2026-08-31 contract fix so pre-fix supply exists only in contract storage,1119
CCAOTG4TATUWKAB2YDIFWT2Y36VDWVVS3BJMZ5Z7MVXJJOCNTJO3KJ6M,2026-07-21,2026-08-31,,,,PC000,Private Credit Direct Deal0000067,7,Tradable private-credit deal token: emitted no SEP-41 events until the 2026-08-31 contract fix so pre-fix supply exists only in contract storage,1119
CCKXPBTQ7NIF4ZNTZR7VG3NMCRIGUSQ6POWR5725PBE6OBAZRBWN5C4L,2026-07-10,2026-08-31,,,,PC054,Private Credit Direct Deal0548041,7,Tradable private-credit deal token: emitted no SEP-41 events until the 2026-08-31 contract fix so pre-fix supply exists only in contract storage,1119
CCRJPLCJCVU27DFGGEBMXRXT5SC33IZP7AFOU7K5O5CG5AJCNS6X73QZ,2026-07-21,2026-08-31,,,,PC000,Private Credit Direct Deal0006519,7,Tradable private-credit deal token: emitted no SEP-41 events until the 2026-08-31 contract fix so pre-fix supply exists only in contract storage,1119
CD23Z563UVH3F6RBT2V3V7HA5TGBNP67WJCDGOONESELAFWC65NZZUBX,2026-07-21,2026-08-31,,,,PC000,Private Credit Direct Deal0000107,7,Tradable private-credit deal token: emitted no SEP-41 events until the 2026-08-31 contract fix so pre-fix supply exists only in contract storage,1119
CD7NSKQJDENO7K7VS54EUBMRBTQFLBUERZJFMIFJ5IBS5UCTTZVKGOT5,2026-07-13,2026-08-31,,,,PC000,Private Credit Direct Deal0000035,7,Tradable private-credit deal token: emitted no SEP-41 events until the 2026-08-31 contract fix so pre-fix supply exists only in contract storage,1119
CDBAHE7CX674ZZLWUPIU5BYR27DIAIO4JJGD4UEAXUYBAQL6K2S76AIG,2026-07-16,2026-08-31,,,,PC000,Private Credit Direct Deal0000109,7,Tradable private-credit deal token: emitted no SEP-41 events until the 2026-08-31 contract fix so pre-fix supply exists only in contract storage,1119
CDBGLIZXR2P7R6OON3SFJDQ3AHSKHLE4Q4KVY7FJSY75Y6KDDHVG6ZTL,2026-07-21,2026-08-31,,,,PC683,Private Credit Direct Deal68376563,7,Tradable private-credit deal token: emitted no SEP-41 events until the 2026-08-31 contract fix so pre-fix supply exists only in contract storage,1119
CDHSV2IR5OBFKYUPIS7WGHTZRZLRSL3D37AGHQTI6JVCOJHSRLOPASST,2026-07-16,2026-08-31,,,,PC000,Private Credit Direct Deal0000065,7,Tradable private-credit deal token: emitted no SEP-41 events until the 2026-08-31 contract fix so pre-fix supply exists only in contract storage,1119
CDIOOHZ26D75IOS2NZAWOKEHO2EZW53BKI64MGHXKIMEAOTFUIIUZDO5,2026-07-21,2026-08-31,,,,PC875,Private Credit Direct Deal875452551,7,Tradable private-credit deal token: emitted no SEP-41 events until the 2026-08-31 contract fix so pre-fix supply exists only in contract storage,1119
CDKDI2MDCLYWNNX32TU3VQAWYXNQTYHYEASRCT25SYY3KXPLUBSQGMDP,2026-06-25,2026-08-31,,,,PC000,Private Credit Direct Deal0003577,7,Tradable private-credit deal token: emitted no SEP-41 events until the 2026-08-31 contract fix so pre-fix supply exists only in contract storage,1119
CDNAOMKO7226TS6IWE4CYBYFBXKBFUCTE2BAJJ5ROND44TIADBDYRYXR,2026-07-21,2026-08-31,,,,PC000,Private Credit Direct Deal0000094,7,Tradable private-credit deal token: emitted no SEP-41 events until the 2026-08-31 contract fix so pre-fix supply exists only in contract storage,1119
CDRU6URDNSDMUN5KT5ZEBAXMVYIZSCMHKLOEZIH4BMAOL3UV6BUKWNLC,2026-07-21,2026-08-31,,,,PC054,Private Credit Direct Deal0548041,7,Tradable private-credit deal token: emitted no SEP-41 events until the 2026-08-31 contract fix so pre-fix supply exists only in contract storage,1119
CDTAEVHNBQ6244VKQDGR6EV3BAA4OVGM5FVZPJDJBZAWO72AEP6YKBPC,2026-07-13,2026-08-31,,,,PC006,Private Credit Direct Deal0066237,7,Tradable private-credit deal token: emitted no SEP-41 events until the 2026-08-31 contract fix so pre-fix supply exists only in contract storage,1119
